hits,title,year,authors,key,ee,venue_category
1647,Fast Adaptation with Meta-Reinforcement Learning for Trust Modelling in Human-Robot Interaction.,2019,Alex Yuan Gao & Elena Sibirtseva & Ginevra Castellano & Danica Kragic,conf/iros/GaoSCK19,https://doi.org/10.1109/IROS40897.2019.8967924,Robotics
1896,Oracles in Software Networks: A New Scientific and Technological Approach to Designing Self-Managing Distributed Computing Processes.,2015,Rao Mikkilineni & Giovanni Morana & Mark Burgin,conf/ecsa/MikkilineniMB15,https://doi.org/10.1145/2797433.2797444,Software_Architecture
249,Sensor Transfer: Learning Optimal Sensor Effect Image Augmentation for Sim-to-Real Domain Adaptation.,2019,Alexandra Carlson & Katherine A. Skinner & Ram Vasudevan & Matthew Johnson-Roberson,journals/ral/CarlsonSVJ19,https://doi.org/10.1109/LRA.2019.2896470,Robotics
1343,An Approach of Facilitated Investigation of Active Self-healing Tension Transmission System Oriented for Legged Robots.,2019,Shinsuke Nakashima & Takuma Shirai & Kento Kawaharazuka & Yuki Asano & Yohei Kakiuchi & Kei Okada & Masayuki Inaba,conf/iros/NakashimaSKAKOI19,https://doi.org/10.1109/IROS40897.2019.8967949,Robotics
1962,Goal-Aware Team Affiliation in Collectives of Autonomous Robots.,2018,Lukas Esterle,conf/saso/Esterle18,https://doi.org/10.1109/SASO.2018.00020,Self-Adaptive_Systems
1911,Assessing Adaptability of Software Architectures for Cyber Physical Production Systems.,2019,Michael Mayrhofer & Christoph Mayr-Dorn & Alois Zoitl & Ouijdane Guiza & Georg Weichhart & Alexander Egyed,conf/ecsa/MayrhoferMZGWE19,https://doi.org/10.1007/978-3-030-29983-5_10,Software_Architecture
1817,Managing Safety and Adaptability in Mobile Multi-Robot Systems.,2015,Darko Bozhinoski,conf/qosa/Bozhinoski15,https://doi.org/10.1145/2737182.2737195,Software_Architecture
1732,Spatial parallel soft robotic architectures.,2014,Jordan A. Rivera & Charles J. Kim,conf/iros/RiveraK14,https://doi.org/10.1109/IROS.2014.6942613,Robotics
1380,Subspace-based Feature Alignment for Unsupervised Domain Adaptation.,2022,Eojindl Yi & Junmo Kim,conf/iros/YiK22,https://doi.org/10.1109/IROS47612.2022.9981324,Robotics
1012,Calibration of industrial robots with product-of-exponential (POE) model and adaptive Neural Networks.,2015,Pey Yuen Tao & G. Yang,conf/icra/TaoY15,https://doi.org/10.1109/ICRA.2015.7139380,Robotics
554,Towards fault adaptive routing in metasurface controller networks.,2020,Dimitrios Kouzapas & Constantinos Skitsas & Taqwa Saeed & Vassos Soteriou & Marios Lestas & Anna Philippou & Sergi Abadal & Christos Liaskos & Loukas Petrou & Julius Georgiou & Andreas Pitsillides,journals/jsa/KouzapasSSSLPAL20,https://doi.org/10.1016/j.sysarc.2019.101703,Software_Architecture
1945,Social Adaptation of Robots for Modulating Self-Organization in Animal Societies.,2014,Payam Zahadat & Michael Bodi & Ziad Salem & Frank Bonnet & Marcelo Elias de Oliveira & Francesco Mondada & Karlo Griparic & Tomislav Haus & Stjepan Bogdan & Rob Mills & Pedro Mariano & Luís Correia 0001 & Olga Kernbach & Serge Kernbach & Thomas Schmickl,conf/saso/ZahadatBSBOMGHB14,https://doi.org/10.1109/SASOW.2014.13,Self-Adaptive_Systems
583,Adaptive subflow allocation for multipath data transmission in mobile edge networks.,2021,Wenzhong Li & Lingfan Yu & Chaojing Xue & Han Zhang & Jixiang Lu & Rongrong Cao & Sanglu Lu,journals/jsa/LiYXZLCL21,https://doi.org/10.1016/j.sysarc.2021.102012,Software_Architecture
590,Infracomposer: Policy-driven adaptive and reflective middleware for the cloudification of simulation & optimization workflows.,2019,Emad Heydari Beni & Bert Lagaisse & Wouter Joosen,journals/jsa/BeniLJ19,https://doi.org/10.1016/j.sysarc.2019.03.001,Software_Architecture
1804,Towards Modular Digital Twins of Robot Systems.,2022,Daniella Tola & Till Böttjer & Peter Gorm Larsen & Lukas Esterle,conf/acsos/TolaBLE22,https://doi.org/10.1109/ACSOSC56246.2022.00040,Self-Adaptive_Systems
54,A Cerebellar Internal Models Control Architecture for Online Sensorimotor Adaptation of a Humanoid Robot Acting in a Dynamic Environment.,2020,Marie Claire Capolei & Nils Axel Andersen & Henrik Hautop Lund & Egidio Falotico & Silvia Tolu,journals/ral/CapoleiALFT20,https://doi.org/10.1109/LRA.2019.2943818,Robotics
452,A Flexible Framework for Diverse Multi-Robot Task Allocation Scenarios Including Multi-Tasking.,2021,Muhammad Usman Arif & Sajjad Haider 0001,journals/taas/ArifH21,https://doi.org/10.1145/3502200,Self-Adaptive_Systems
380,Adaptive Control Method for Dynamic Synchronization of Wearable Robotic Assistance to Discrete Movements: Validation for Use Case of Lifting Tasks.,2021,Francesco Lanotte & Zach McKinney & Lorenzo Grazi & Baojun Chen & Simona Crea & Nicola Vitiello,journals/trob/LanotteMGCCV21,https://doi.org/10.1109/TRO.2021.3073836,Robotics
1918,Systematic Approach to Engineer Decentralized Self-adaptive Systems.,2020,Federico Quin,conf/ecsa/Quin20,https://doi.org/10.1007/978-3-030-59155-7_4,Software_Architecture
1806,BLOC: Balancing Load with Overload Control In the Microservices Architecture.,2022,Ratnadeep Bhattacharya & Timothy Wood 0001,conf/acsos/BhattacharyaW22,https://doi.org/10.1109/ACSOS55765.2022.00027,Self-Adaptive_Systems
1923,Self-Healing for Distributed Workflows in the Internet of Things.,2017,Ronny Seiger & Stefan Herrmann & Uwe Aßmann,conf/icsa/SeigerHA17,https://doi.org/10.1109/ICSAW.2017.36,Software_Architecture
573,ADAPT: An auxiliary storage data path toolkit.,2021,Weisu Wang & Christopher R. Meyers & Robert Roy & Sarah M. Diesburg & An-I Andy Wang,journals/jsa/WangMRDW21,https://doi.org/10.1016/j.sysarc.2020.101902,Software_Architecture
1802,The Computational Complexity of Designing Scalar-Field Sensing Robot Teams and Environments for Distributed Construction (Extended Abstract).,2021,Todd Wareham & Andrew Vardy,conf/acsos/WarehamV21,https://doi.org/10.1109/ACSOS-C52956.2021.00059,Self-Adaptive_Systems
1705,Adapting Rapid Motor Adaptation for Bipedal Robots.,2022,Ashish Kumar & Zhongyu Li & Jun Zeng & Deepak Pathak & Koushil Sreenath & Jitendra Malik,conf/iros/KumarLZPSM22,https://doi.org/10.1109/IROS47612.2022.9981091,Robotics
