hits,title,year,authors,key,ee,venue_category
1901,A domain model for self-adaptive software systems.,2017,Fahimeh Alizadeh Moghaddam & Robert Deckers & Giuseppe Procaccianti & Paola Grosso & Patricia Lago,conf/ecsa/MoghaddamDPGL17,https://doi.org/10.1145/3129790.3129824,Software_Architecture
449,Modeling Robot Swarms Using Integrals of Birth-Death Processes.,2016,Yara Khaluf & Marco Dorigo,journals/taas/KhalufD16,https://doi.org/10.1145/2870637,Self-Adaptive_Systems
157,AdaFusion: Visual-LiDAR Fusion With Adaptive Weights for Place Recognition.,2022,Haowen Lai & Peng Yin 0001 & Sebastian A. Scherer,journals/ral/LaiYS22,https://doi.org/10.1109/LRA.2022.3210880,Robotics
408,Sophia-3: A Semiadaptive Cable-Driven Rehabilitation Device With a Tilting Working Plane.,2014,Damiano Zanotto & Giulio Rosati & Simone Minto & Aldo Rossi,journals/trob/ZanottoRMR14,https://doi.org/10.1109/TRO.2014.2301532,Robotics
13,Learning Causal Relationships of Object Properties and Affordances Through Human Demonstrations and Self-Supervised Intervention for Purposeful Action in Transfer Environments.,2022,Constantin Uhde & Nicolas Berberich & Hao Ma & Rogelio Guadarrama & Gordon Cheng,journals/ral/UhdeBMGC22,https://doi.org/10.1109/LRA.2022.3196125,Robotics
564,Adaptive simulation with Virtual Prototypes in an open-source RISC-V evaluation platform.,2021,Vladimir Herdt & Daniel Große & Sören Tempel & Rolf Drechsler,journals/jsa/HerdtGTD21,https://doi.org/10.1016/j.sysarc.2021.102135,Software_Architecture
1066,Human-Robot Shared Control for Surgical Robot Based on Context-Aware Sim-to-Real Adaptation.,2022,Dandan Zhang & Zicong Wu & Junhong Chen & Ruiqi Zhu & Adnan Munawar & Bo Xiao 0002 & Yuan Guan & Hang Su & Wuzhou Hong & Yao Guo 0002 & Gregory S. Fischer & Benny Lo & Guang-Zhong Yang,conf/icra/ZhangWCZM0GSH0F22,https://doi.org/10.1109/ICRA46639.2022.9812379,Robotics
455,Property-Driven Design for Robot Swarms: A Design Method Based on Prescriptive Modeling and Model Checking.,2015,Manuele Brambilla & Arne Brutschy & Marco Dorigo & Mauro Birattari,journals/taas/BrambillaBDB15,https://doi.org/10.1145/2700318,Self-Adaptive_Systems
777,Self-Supervised Deep Pose Corrections for Robust Visual Odometry.,2020,Brandon Wagstaff & Valentin Peretroukhin & Jonathan Kelly,conf/icra/WagstaffPK20,https://doi.org/10.1109/ICRA40945.2020.9197562,Robotics
1346,Online Self-body Image Acquisition Considering Changes in Muscle Routes Caused by Softness of Body Tissue for Tendon-driven Musculoskeletal Humanoids.,2018,Kento Kawaharazuka & Shogo Makino & Masaya Kawamura & Ayaka Fujii & Yuki Asano & Kei Okada & Masayuki Inaba,conf/iros/KawaharazukaMKF18,https://doi.org/10.1109/IROS.2018.8593428,Robotics
1950,Self-Organised Embellishment of 3D Printed Scaffolds for the Production of Co-occupied Architectural Boundaries.,2016,Asya Ilgün & Phil Ayres,conf/saso/IlgunA16,https://doi.org/10.1109/FAS-W.2016.41,Self-Adaptive_Systems
1919,Towards service discovery and autonomic version management in self-healing microservices architecture.,2019,Yuwei Wang,conf/ecsa/Wang19,https://doi.org/10.1145/3344948.3344952,Software_Architecture
1329,Leg stiffness adaptation for running on unknown terrains.,2013,Bruce D. Miller & David A. Cartes & Jonathan E. Clark,conf/iros/MillerCC13,https://doi.org/10.1109/IROS.2013.6697095,Robotics
1850,Organic Architecture for Energy Management and Smart Grids.,2015,Ingo Mauser & Christian Hirsch & Sebastian Kochanneck & Hartmut Schmeck,conf/icac/MauserHKS15,https://doi.org/10.1109/ICAC.2015.10,Self-Adaptive_Systems
1973,High Performance Parallel KMP Algorithm on a Heterogeneous Architecture.,2018,Soeun Park & Daehee Kim & Neungsoo Park & Myungho Lee,conf/saso/ParkKPL18,https://doi.org/10.1109/FAS-W.2018.00027,Self-Adaptive_Systems
1848,Autonomic Management of Dynamically Partially Reconfigurable FPGA Architectures Using Discrete Control.,2013,Xin An & Éric Rutten & Jean-Philippe Diguet & Nicolas Le Griguer & Abdoulaye Gamatié,conf/icac/AnRDGG13,https://www.usenix.org/conference/icac13/technical-sessions/presentation/an,Self-Adaptive_Systems
1959,Beyond Sync: Distributed Temporal Coordination and Its Implementation in a Multi-Robot System.,2019,Agata Barcis & Christian Bettstetter,conf/saso/BarcisB19,https://doi.org/10.1109/SASO.2019.00020,Self-Adaptive_Systems
577,Bridging the gap between formal verification and schedulability analysis: The case of robotics.,2020,Mohammed Foughali & Pierre-Emmanuel Hladik,journals/jsa/FoughaliH20,https://doi.org/10.1016/j.sysarc.2020.101817,Software_Architecture
542,AdapTracer: Adaptive path profiling using arithmetic coding.,2018,Gonglong Chen & Wei Dong 0001,journals/jsa/ChenD18,https://doi.org/10.1016/j.sysarc.2018.05.011,Software_Architecture
585,Comprehensible and dependable self-learning self-adaptive systems.,2018,Verena Klös & Thomas Göthel & Sabine Glesner,journals/jsa/KlosGG18,https://doi.org/10.1016/j.sysarc.2018.03.004,Software_Architecture
1949,Online Hyper-evolution of Controllers in Multirobot Systems.,2016,Fernando Silva 0003 & Luís Correia 0001 & Anders Lyhne Christensen,conf/saso/SilvaCC16,https://doi.org/10.1109/SASO.2016.7,Self-Adaptive_Systems
1178,Towards Digital Twin-enabled DevOps for CPS providing Architecture-Based Service Adaptation & Verification at Runtime.,2022,Jürgen Dobaj & Andreas Riel & Thomas Krug & Matthias Seidl & Georg Macher & Markus Egretzberger,conf/seams/DobajRKSME22,https://doi.org/10.1145/3524844.3528057,Self-Adaptive_Systems
