hits,title,year,authors,key,ee
0,Workspace Boundary Estimation for Soft Manipulators Using a Continuation Approach.,2021,Walid Amehri & Gang Zheng 0002 & Alexandre Kruszewski,journals/ral/AmehriZK21,https://doi.org/10.1109/LRA.2021.3097662
1,Passivity-Based Adaptive Force-Impedance Control for Modular Multi-Manual Object Manipulation.,2022,Erfan Shahriari & Seyed Ali Baradaran Birjandi & Sami Haddadin,journals/ral/ShahriariBH22,https://doi.org/10.1109/LRA.2022.3142903
2,Characterizing Nanoparticle Swarms With Tuneable Concentrations for Enhanced Imaging Contrast.,2019,Jiangfan Yu & Qianqian Wang & Mengzhi Li & Chao Liu 0052 & Lidai Wang & Tiantian Xu 0001 & Li Zhang 0010,journals/ral/YuWLLWXZ19,https://doi.org/10.1109/LRA.2019.2924055
3,Recommending Fine-Grained Tool Consistent With Common Sense Knowledge for Robot.,2022,Jianjia Xin & Lichun Wang 0002 & Shaofan Wang & Yukun Liu & Chao Yang & Baocai Yin,journals/ral/XinWWLYY22,https://doi.org/10.1109/LRA.2022.3187536
4,The Seednoid Robot Platform: Designing a Multipurpose Compact Robot From Continuous Evaluation and Lessons From Competitions.,2018,Kazuhiro Sasabuchi & Hiroaki Yaguchi & Kotaro Nagahama & Shintaro Hori & Hiroto Mizohana & Masayuki Inaba,journals/ral/SasabuchiYNHMI18,https://doi.org/10.1109/LRA.2018.2859041
5,Robust Control of a Multi-Axis Shape Memory Alloy-Driven Soft Manipulator.,2022,Zach J. Patterson & Andrew P. Sabelhaus & Carmel Majidi,journals/ral/PattersonSM22,https://doi.org/10.1109/LRA.2022.3143256
6,Shallow-Depth Insertion: Peg in Shallow Hole Through Robotic In-Hand Manipulation.,2019,Chung Hee Kim & Jungwon Seo,journals/ral/KimS19,https://doi.org/10.1109/LRA.2018.2890449
7,Particle Swarm Optimization for Cooperative Multi-Robot Task Allocation: A Multi-Objective Approach.,2020,Changyun Wei & Ze Ji & Boliang Cai,journals/ral/WeiJC20,https://doi.org/10.1109/LRA.2020.2972894
8,Stability and Convergence Analysis of 3D Feature-Based Visual Servoing.,2022,Marco Costanzo & Giuseppe De Maria & Ciro Natale & Antonio Russo,journals/ral/CostanzoMNR22,https://doi.org/10.1109/LRA.2022.3211154
9,SIRNet: Fine-Grained Surgical Interaction Recognition.,2022,Ling Li & Xiaojian Li & Shuai Ding 0001 & Zhao Fang & Mengya Xu & Hongliang Ren 0001 & Shanlin Yang,journals/ral/LiLDFXRY22,https://doi.org/10.1109/LRA.2022.3148454
10,A Wall-Mounted Robot Arm Equipped With a 4-DOF Yaw-Pitch-Yaw-Pitch Counterbalance Mechanism.,2020,Jae-Kyung Min & Do-Won Kim & Jae-Bok Song,journals/ral/MinKS20,https://doi.org/10.1109/LRA.2020.2975731
11,SuPer: A Surgical Perception Framework for Endoscopic Tissue Manipulation With Surgical Robotics.,2020,Yang Li 0041 & Florian Richter 0002 & Jingpei Lu & Emily K. Funk & Ryan K. Orosco & Jianke Zhu & Michael C. Yip,journals/ral/LiRLFOZY20,https://doi.org/10.1109/LRA.2020.2970659
12,Tracking and Relative Localization of Drone Swarms With a Vision-Based Headset.,2021,Maxim Pavliv & Fabrizio Schiano & Christopher M. Reardon & Dario Floreano & Giuseppe Loianno,journals/ral/PavlivSRFL21,https://doi.org/10.1109/LRA.2021.3051565
13,Stiffness Display by Muscle Contraction Via Electric Muscle Stimulation.,2016,Yuichi Kurita & Takaaki Ishikawa & Toshio Tsuji,journals/ral/KuritaIT16,https://doi.org/10.1109/LRA.2016.2529689
14,Flexible Fiber Interconnects for Soft Mechatronics.,2020,Snehal Jain & Thileepan Stalin & Elgar Kanhere & Pablo Valdivia y Alvarado,journals/ral/JainSKA20,https://doi.org/10.1109/LRA.2020.2982367
15,A Piecewise Monotonic Gait Phase Estimation Model for Controlling a Powered Transfemoral Prosthesis in Various Locomotion Modes.,2022,Xinxing Chen & Chuheng Chen & Yuxuan Wang & Bowen Yang & Teng Ma & Yuquan Leng & Chenglong Fu 0001,journals/ral/ChenCWYMLF22,https://doi.org/10.1109/LRA.2022.3191945
16,Learning-Based Fingertip Force Estimation for Soft Wearable Hand Robot With Tendon-Sheath Mechanism.,2020,Brian Byunghyun Kang & Daekyum Kim & Hyungmin Choi & Useok Jeong & Kyu Bum Kim & Sungho Jo & Kyu-Jin Cho,journals/ral/KangKCJKJC20,https://doi.org/10.1109/LRA.2020.2966391
17,Jampacker: An Efficient and Reliable Robotic Bin Packing System for Cuboid Objects.,2021,Marichi Agarwal & Swagata Biswas & Chayan Sarkar & Sayan Paul & Himadri Sekhar Paul,journals/ral/AgarwalBSPP21,https://doi.org/10.1109/LRA.2020.3043168
18,Effects of Localized Leg Muscle Vibration Timed to Gait Cycle Percentage During Overground Walking.,2022,Antonio Prado & Sunil K. Agrawal,journals/ral/PradoA22,https://doi.org/10.1109/LRA.2022.3181415
19,Simultaneous Localization and Layout Model Selection in Manhattan Worlds.,2019,Armon Shariati & Bernd Pfrommer & Camillo J. Taylor,journals/ral/ShariatiPT19,https://doi.org/10.1109/LRA.2019.2893417
20,Failure-Resilient Coverage Maximization With Multiple Robots.,2021,Ishat E. Rabban & Pratap Tokekar,journals/ral/RabbanT21,https://doi.org/10.1109/LRA.2021.3067275
21,A Fast Random Walk Approach to Find Diverse Paths for Robot Navigation.,2017,Luigi Palmieri & Andrey Rudenko & Kai Oliver Arras,journals/ral/PalmieriRA17,https://doi.org/10.1109/LRA.2016.2602240
22,Robust Moving Path Following Control for Robotic Vehicles: Theory and Experiments.,2019,Matheus F. Reis & R. Praveen Jain & A. Pedro Aguiar & João Borges de Sousa,journals/ral/ReisJAS19,https://doi.org/10.1109/LRA.2019.2925733
23,A Distributed Reconfiguration Planning Algorithm for Modular Robots.,2019,Chao Liu 0021 & Michael Whitzer & Mark Yim,journals/ral/LiuWY19,https://doi.org/10.1109/LRA.2019.2930432
24,Avoidance of Convex and Concave Obstacles With Convergence Ensured Through Contraction.,2019,Lukas Huber & Aude Billard & Jean-Jacques E. Slotine,journals/ral/HuberBS19,https://doi.org/10.1109/LRA.2019.2893676
