hits,title,year,authors,key,ee,venue_category
0,Passivity-Based Adaptive Force-Impedance Control for Modular Multi-Manual Object Manipulation.,2022,Erfan Shahriari & Seyed Ali Baradaran Birjandi & Sami Haddadin,journals/ral/ShahriariBH22,https://doi.org/10.1109/LRA.2022.3142903,Robotics
1,Architecture Design and Flight Control of a Novel Octopus Shaped Multirotor Vehicle.,2022,Sijia Wang & Lei Ma 0007 & Binbin Li & Kai Zhang 0004,journals/ral/WangMLZ22,https://doi.org/10.1109/LRA.2021.3124077,Robotics
2,Towards Terrain Adaptablity: In Situ Transformation of Wheel-Biped Robots.,2022,Tangyou Liu & Chao Zhang 0076 & Jiaole Wang & Shuang Song 0002 & Max Q.-H. Meng,journals/ral/LiuZWSM22,https://doi.org/10.1109/LRA.2022.3148486,Robotics
3,Closed-Loop Position Control of a Self-Sensing 3-DoF Origami Module With Pneumatic Actuators.,2021,Mustafa Mete & Jamie Paik,journals/ral/MeteP21,https://doi.org/10.1109/LRA.2021.3102952,Robotics
4,Simultaneous Control of Terrain Adaptation and Wheel Speed Allocation for a Planetary Rover With an Active Suspension System.,2021,Jie Li & Jun He & Yan Xing & Feng Gao 0011,journals/ral/LiHXG21,https://doi.org/10.1109/LRA.2021.3091701,Robotics
5,A Self-Tuning Impedance-Based Interaction Planner for Robotic Haptic Exploration.,2022,Yasuhiro X. Kato & Pietro Balatti & Juan M. Gandarias & Mattia Leonori & Toshiaki Tsuji & Arash Ajoudani,journals/ral/KatoBGLTA22,https://doi.org/10.1109/LRA.2022.3190806,Robotics
6,Mind the Gap: Norm-Aware Adaptive Robust Loss for Multivariate Least-Squares Problems.,2022,Thomas Hitchcox & James Richard Forbes,journals/ral/HitchcoxF22,https://doi.org/10.1109/LRA.2022.3179424,Robotics
7,Instance-Aware Multi-Object Self-Supervision for Monocular Depth Prediction.,2022,Houssem-eddine Boulahbal & Adrian Voicila & Andrew I. Comport,journals/ral/BoulahbalVC22,https://doi.org/10.1109/LRA.2022.3194951,Robotics
8,Adaptation of Gradient-Based Navigation Control for Holonomic Robots to Nonholonomic Robots.,2021,Amir Salimi Lafmejani & Hamed Farivarnejad & Spring Berman,journals/ral/LafmejaniFB21,https://doi.org/10.1109/LRA.2020.3037855,Robotics
9,Reconstructing Occluded Elevation Information in Terrain Maps With Self-Supervised Learning.,2022,Maximilian Stölzle & Takahiro Miki & Levin Gerdes & Martin Azkarate & Marco Hutter 0001,journals/ral/StolzleMGAH22,https://doi.org/10.1109/LRA.2022.3141662,Robotics
10,An Open Torque-Controlled Modular Robot Architecture for Legged Locomotion Research.,2020,Felix Grimminger & Avadesh Meduri & Majid Khadiv & Julian Viereck & Manuel Wüthrich & Maximilien Naveau & Vincent Berenz & Steve Heim & Felix Widmaier & Thomas Flayols & Jonathan Fiene & Alexander Badri-Spröwitz & Ludovic Righetti,journals/ral/GrimmingerMKVWN20,https://doi.org/10.1109/LRA.2020.2976639,Robotics
11,On the Development of Adaptive; Tendon-Driven; Wearable Exo-Gloves for Grasping Capabilities Enhancement.,2019,Lucas Gerez & Junan Chen & Minas V. Liarokapis,journals/ral/GerezCL19,https://doi.org/10.1109/LRA.2019.2890853,Robotics
12,Walking Posture Adaptation for Legged Robot Navigation in Confined Spaces.,2019,Russell Buchanan & Tirthankar Bandyopadhyay & Marko Bjelonic & Lorenz Wellhausen & Marco Hutter 0001 & Navinda Kottege,journals/ral/BuchananBBWHK19,https://doi.org/10.1109/LRA.2019.2899664,Robotics
13,Learning Causal Relationships of Object Properties and Affordances Through Human Demonstrations and Self-Supervised Intervention for Purposeful Action in Transfer Environments.,2022,Constantin Uhde & Nicolas Berberich & Hao Ma & Rogelio Guadarrama & Gordon Cheng,journals/ral/UhdeBMGC22,https://doi.org/10.1109/LRA.2022.3196125,Robotics
